"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5107768";"      Santa Rita do Trivelato";"..";"...";"..";"16542";"..";"73743";"..";"67060";"..";"71080";"..";"22620";"..";"82746";"..";"105000";"..";"174020";"..";"115960";"..";"139080";"..";"126000";"..";"413400";"..";"441000";"..";"388800";"..";"357000";"..";"200880";"..";"698544";"..";"464688";"..";"590700";"..";"633960";"..";"427500";"..";"655500";"..";"806400"
"MU";"5107925";"      Sorriso";"..";"131529";"..";"166207";"..";"265680";"..";"189800";"..";"334800";"..";"183000";"..";"400297";"..";"755678";"..";"997440";"..";"903000";"..";"1058720";"..";"889806";"..";"1998402";"..";"2657940";"..";"2007720";"..";"2619690";"..";"1834560";"..";"3841566";"..";"2851200";"..";"3176069";"..";"3190928";"..";"3082320";"..";"3787800";"..";"3819900"
"MU";"5108006";"      Tapurah";"..";"53286";"..";"89325";"..";"152100";"..";"202800";"..";"133200";"..";"134400";"..";"96250";"..";"137448";"..";"188550";"..";"141831";"..";"168675";"..";"129030";"..";"253125";"..";"426461";"..";"229920";"..";"237570";"..";"207030";"..";"600456";"..";"534795";"..";"531225";"..";"601380";"..";"472500";"..";"808600";"..";"1023000"
"MI";"51007";"    Sinop";"..";"31046";"..";"47213";"..";"58155";"..";"87052";"..";"155803";"..";"173348";"..";"136600";"..";"270262";"..";"432028";"..";"414235";"..";"606458";"..";"565934";"..";"1423424";"..";"1873207";"..";"1517367";"..";"1917917";"..";"1324200";"..";"2827221";"..";"2790229";"..";"3282903";"..";"3565827";"..";"3053340";"..";"4193640";"..";"5713236"
"MU";"5103056";"      Cláudia";"..";"2550";"..";"4444";"..";"5070";"..";"9350";"..";"11517";"..";"16520";"..";"11300";"..";"8900";"..";"50084";"..";"34200";"..";"60200";"..";"69810";"..";"155372";"..";"190327";"..";"147000";"..";"263352";"..";"168300";"..";"409500";"..";"339929";"..";"440028";"..";"405720";"..";"322080";"..";"510840";"..";"607200"
"MU";"5103700";"      Feliz Natal";"..";"1098";"..";"3308";"..";"1860";"..";"3726";"..";"270";"..";"3078";"..";"6150";"..";"26892";"..";"26400";"..";"53400";"..";"52960";"..";"63240";"..";"162000";"..";"312365";"..";"282387";"..";"285000";"..";"181500";"..";"410736";"..";"445500";"..";"548964";"..";"593759";"..";"393600";"..";"662400";"..";"841800"
"MU";"5104559";"      Itaúba";"..";"3660";"..";"3072";"..";"1848";"..";"4470";"..";"7736";"..";"13320";"..";"3220";"..";"6120";"..";"6245";"..";"6075";"..";"10525";"..";"8900";"..";"54000";"..";"54000";"..";"53700";"..";"41700";"..";"45000";"..";"102000";"..";"103400";"..";"149600";"..";"189000";"..";"130200";"..";"197540";"..";"299700"
"MU";"5105580";"      Marcelândia";"..";"1920";"..";"2160";"..";"900";"..";"600";"..";"1950";"..";"2040";"..";"600";"..";"660";"..";"15038";"..";"2070";"..";"3750";"..";"2160";"..";"29720";"..";"54000";"..";"50700";"..";"80190";"..";"54000";"..";"118800";"..";"107800";"..";"94500";"..";"217800";"..";"129000";"..";"277920";"..";"586500"
"MU";"5106190";"      Nova Santa Helena";"..";"...";"..";"1800";"..";"357";"..";"300";"..";"660";"..";"1860";"..";"900";"..";"450";"..";"2550";"..";"450";"..";"3000";"..";"594";"..";"6780";"..";"6780";"..";"9180";"..";"17196";"..";"21600";"..";"35927";"..";"32900";"..";"54648";"..";"51300";"..";"75600";"..";"102600";"..";"240576"
"MU";"5107248";"      Santa Carmem";"..";"4518";"..";"6518";"..";"12823";"..";"13956";"..";"30000";"..";"18000";"..";"16320";"..";"36000";"..";"44336";"..";"80880";"..";"97440";"..";"85800";"..";"229500";"..";"363732";"..";"199200";"..";"264600";"..";"247500";"..";"421176";"..";"443520";"..";"525300";"..";"507960";"..";"507300";"..";"648720";"..";"772200"
"MU";"5107909";"      Sinop";"..";"14400";"..";"22000";"..";"31500";"..";"41360";"..";"53228";"..";"75255";"..";"64240";"..";"129140";"..";"170225";"..";"133200";"..";"189960";"..";"156000";"..";"380884";"..";"353287";"..";"388680";"..";"484800";"..";"345600";"..";"685570";"..";"648000";"..";"703022";"..";"680488";"..";"656880";"..";"719800";"..";"1026600"
"MU";"5108303";"      União do Sul";"..";"450";"..";"900";"..";"167";"..";"510";"..";"4410";"..";"1695";"..";"1470";"..";"15300";"..";"6450";"..";"3120";"..";"8623";"..";"23430";"..";"24120";"..";"24120";"..";"29520";"..";"66359";"..";"54000";"..";"122760";"..";"105600";"..";"212124";"..";"252000";"..";"173400";"..";"241500";"..";"362880"
"MU";"5108501";"      Vera";"..";"2450";"..";"3011";"..";"3630";"..";"12780";"..";"46032";"..";"41580";"..";"32400";"..";"46800";"..";"110700";"..";"100840";"..";"180000";"..";"156000";"..";"381048";"..";"514596";"..";"357000";"..";"414720";"..";"206700";"..";"520752";"..";"563580";"..";"554717";"..";"667800";"..";"665280";"..";"832320";"..";"975780"
"MI";"51008";"    Paranatinga";"..";"4800";"..";"6045";"..";"9600";"..";"6785";"..";"7916";"..";"7916";"..";"20155";"..";"21030";"..";"27373";"..";"53061";"..";"61308";"..";"124944";"..";"170716";"..";"354738";"..";"223034";"..";"445428";"..";"84840";"..";"381712";"..";"326070";"..";"983820";"..";"1050050";"..";"1078164";"..";"1010600";"..";"1677872"
"MU";"5103858";"      Gaúcha do Norte";"..";"390";"..";"1845";"..";"...";"..";"240";"..";"2400";"..";"1680";"..";"7920";"..";"11400";"..";"11788";"..";"13715";"..";"19937";"..";"54000";"..";"74700";"..";"81830";"..";"39890";"..";"91800";"..";"52800";"..";"184960";"..";"153600";"..";"507300";"..";"584250";"..";"584250";"..";"492000";"..";"610000"
"MU";"5106208";"      Nova Brasilândia";"..";"1000";"..";"1200";"..";"180";"..";"710";"..";"1116";"..";"1112";"..";"4068";"..";"240";"..";"1590";"..";"826";"..";"420";"..";"1870";"..";"3863";"..";"7346";"..";"8739";"..";"9768";"..";"3600";"..";"10600";"..";"8160";"..";"19200";"..";"24600";"..";"13500";"..";"13500";"..";"58732"
"MU";"5106307";"      Paranatinga";"..";"2200";"..";"1680";"..";"5520";"..";"4500";"..";"3140";"..";"3300";"..";"6303";"..";"8340";"..";"12045";"..";"35958";"..";"38791";"..";"61932";"..";"67530";"..";"246326";"..";"150000";"..";"324900";"..";"19800";"..";"171000";"..";"150000";"..";"453960";"..";"434000";"..";"453960";"..";"477600";"..";"941490"
"MU";"5106455";"      Planalto da Serra";"..";"1210";"..";"1320";"..";"3900";"..";"1335";"..";"1260";"..";"1824";"..";"1864";"..";"1050";"..";"1950";"..";"2562";"..";"2160";"..";"7142";"..";"24623";"..";"19236";"..";"24405";"..";"18960";"..";"8640";"..";"15152";"..";"14310";"..";"3360";"..";"7200";"..";"26454";"..";"27500";"..";"67650"
"ME";"5102";"  Nordeste Mato-grossense";"..";"97489";"..";"119088";"..";"133094";"..";"164811";"..";"118856";"..";"120498";"..";"145156";"..";"200669";"..";"372849";"..";"452972";"..";"462105";"..";"735880";"..";"1542760";"..";"2047838";"..";"2535212";"..";"2690082";"..";"1565798";"..";"3535743";"..";"3435340";"..";"4237789";"..";"4930838";"..";"5162928";"..";"5032749";"..";"8397961"
"MI";"51009";"    Norte Araguaia";"..";"47826";"..";"56257";"..";"53873";"..";"54349";"..";"48706";"..";"44348";"..";"45149";"..";"43996";"..";"73471";"..";"75713";"..";"54905";"..";"157106";"..";"423594";"..";"481285";"..";"1045305";"..";"925600";"..";"1026463";"..";"1410848";"..";"1707974";"..";"2153387";"..";"2046268";"..";"2302274";"..";"2285100";"..";"4119475"
"MU";"5100359";"      Alto Boa Vista";"..";"3600";"..";"2700";"..";"2700";"..";"2700";"..";"260";"..";"945";"..";"480";"..";"675";"..";"3300";"..";"2160";"..";"896";"..";"4360";"..";"12480";"..";"12624";"..";"12144";"..";"29076";"..";"10440";"..";"42879";"..";"28860";"..";"35670";"..";"35700";"..";"86070";"..";"122459";"..";"141633"
"MU";"5101852";"      Bom Jesus do Araguaia";"..";"...";"..";"2160";"..";"2340";"..";"10800";"..";"2880";"..";"3600";"..";"3000";"..";"4680";"..";"13560";"..";"16200";"..";"1500";"..";"43200";"..";"68069";"..";"57600";"..";"126120";"..";"174724";"..";"107627";"..";"197688";"..";"176050";"..";"299007";"..";"262758";"..";"262419";"..";"289536";"..";"561769"
"MU";"5102694";"      Canabrava do Norte";"..";"5400";"..";"12240";"..";"11700";"..";"11700";"..";"11700";"..";"12750";"..";"6300";"..";"900";"..";"8400";"..";"1170";"..";"1260";"..";"9000";"..";"16875";"..";"42500";"..";"79200";"..";"35640";"..";"76800";"..";"86400";"..";"112200";"..";"80040";"..";"70740";"..";"60474";"..";"60474";"..";"169500"
"MU";"5103353";"      Confresa";"..";"18360";"..";"17340";"..";"14400";"..";"7700";"..";"7560";"..";"7200";"..";"8400";"..";"6300";"..";"8820";"..";"8820";"..";"990";"..";"3900";"..";"15336";"..";"32346";"..";"133218";"..";"75600";"..";"97872";"..";"93906";"..";"122100";"..";"119700";"..";"108870";"..";"114000";"..";"162828";"..";"230520"
"MU";"5105309";"      Luciara";"..";"18";"..";"180";"..";"180";"..";"270";"..";"324";"..";"168";"..";"72";"..";"72";"..";"72";"..";"66";"..";"77";"..";"96";"..";"90";"..";"120";"..";"150";"..";"120";"..";"90";"..";"96";"..";"255";"..";"240";"..";"105";"..";"114";"..";"114";"..";"360"
"MU";"5106315";"      Novo Santo Antônio";"..";"...";"..";"180";"..";"90";"..";"144";"..";"216";"..";"252";"..";"21";"..";"19";"..";"378";"..";"432";"..";"480";"..";"280";"..";"180";"..";"210";"..";"240";"..";"180";"..";"54";"..";"135";"..";"4224";"..";"4200";"..";"4260";"..";"4215";"..";"4290";"..";"5505"
"MU";"5106778";"      Porto Alegre do Norte";"..";"1323";"..";"687";"..";"548";"..";"600";"..";"3123";"..";"3249";"..";"5559";"..";"4169";"..";"3240";"..";"3510";"..";"3564";"..";"7800";"..";"42687";"..";"52500";"..";"59100";"..";"43020";"..";"69600";"..";"78300";"..";"97440";"..";"133920";"..";"103200";"..";"196000";"..";"177324";"..";"203400"
"MU";"5107180";"      Ribeirão Cascalheira";"..";"6480";"..";"4320";"..";"8000";"..";"5100";"..";"1500";"..";"1350";"..";"3375";"..";"1440";"..";"5400";"..";"4575";"..";"1500";"..";"6970";"..";"12480";"..";"33036";"..";"113370";"..";"76500";"..";"18060";"..";"72987";"..";"56934";"..";"60000";"..";"135000";"..";"151200";"..";"76500";"..";"270000"
"MU";"5107743";"      Santa Cruz do Xingu";"..";"...";"..";"1440";"..";"1620";"..";"2400";"..";"840";"..";"240";"..";"480";"..";"616";"..";"2100";"..";"2400";"..";"2400";"..";"6180";"..";"8400";"..";"16200";"..";"47520";"..";"15000";"..";"20160";"..";"37800";"..";"45000";"..";"79005";"..";"89100";"..";"126000";"..";"117000";"..";"283200"
"MU";"5107776";"      Santa Terezinha";"..";"975";"..";"1170";"..";"1265";"..";"1265";"..";"1602";"..";"1620";"..";"1530";"..";"900";"..";"3650";"..";"4280";"..";"1314";"..";"1050";"..";"22704";"..";"21600";"..";"25110";"..";"29160";"..";"66240";"..";"69000";"..";"64507";"..";"77775";"..";"48195";"..";"72000";"..";"64404";"..";"118320"
"MU";"5107859";"      São Félix do Araguaia";"..";"2520";"..";"4140";"..";"2790";"..";"2880";"..";"5130";"..";"5400";"..";"1070";"..";"5985";"..";"16443";"..";"15420";"..";"32280";"..";"56670";"..";"63913";"..";"73799";"..";"205260";"..";"301140";"..";"292925";"..";"425777";"..";"639450";"..";"781804";"..";"667660";"..";"658522";"..";"659507";"..";"1321110"
"MU";"5107354";"      São José do Xingu";"..";"3600";"..";"1800";"..";"1904";"..";"1680";"..";"10430";"..";"3080";"..";"4200";"..";"4200";"..";"4500";"..";"9600";"..";"3300";"..";"9300";"..";"95400";"..";"92610";"..";"187920";"..";"111780";"..";"193920";"..";"218160";"..";"269304";"..";"362250";"..";"396000";"..";"420000";"..";"390000";"..";"508500"
"MU";"5107883";"      Serra Nova Dourada";"..";"...";"..";"900";"..";"936";"..";"1080";"..";"403";"..";"494";"..";"162";"..";"540";"..";"528";"..";"240";"..";"550";"..";"440";"..";"180";"..";"240";"..";"360";"..";"1260";"..";"675";"..";"1260";"..";"1260";"..";"1170";"..";"1200";"..";"1260";"..";"3164";"..";"81918"
"MU";"5108600";"      Vila Rica";"..";"5550";"..";"7000";"..";"5400";"..";"6030";"..";"2738";"..";"4000";"..";"10500";"..";"13500";"..";"3080";"..";"6840";"..";"4794";"..";"7860";"..";"64800";"..";"45900";"..";"55593";"..";"32400";"..";"72000";"..";"86460";"..";"90390";"..";"118606";"..";"123480";"..";"150000";"..";"157500";"..";"223740"
"MI";"51010";"    Canarana";"..";"48157";"..";"58811";"..";"76611";"..";"109192";"..";"68380";"..";"75265";"..";"98735";"..";"156121";"..";"298304";"..";"372849";"..";"407050";"..";"568340";"..";"1101730";"..";"1566499";"..";"1480919";"..";"1755698";"..";"533422";"..";"2119699";"..";"1721304";"..";"2074236";"..";"2859640";"..";"2832200";"..";"2601765";"..";"4132850"
"MU";"5100201";"      Água Boa";"..";"8075";"..";"10840";"..";"6300";"..";"6300";"..";"6000";"..";"7200";"..";"10398";"..";"4018";"..";"21506";"..";"17190";"..";"18992";"..";"40350";"..";"79500";"..";"118800";"..";"102000";"..";"91200";"..";"27900";"..";"158280";"..";"125100";"..";"196200";"..";"171000";"..";"216600";"..";"224400";"..";"411600"
"MU";"5102603";"      Campinápolis";"..";"4800";"..";"1008";"..";"1500";"..";"1500";"..";"2400";"..";"900";"..";"228";"..";"360";"..";"302";"..";"360";"..";"-";"..";"-";"..";"-";"..";"4800";"..";"16800";"..";"23280";"..";"7733";"..";"18810";"..";"18900";"..";"45000";"..";"45000";"..";"40500";"..";"30600";"..";"122400"
"MU";"5102702";"      Canarana";"..";"5400";"..";"5628";"..";"6000";"..";"16000";"..";"5400";"..";"10330";"..";"1440";"..";"1800";"..";"66150";"..";"63423";"..";"59400";"..";"102000";"..";"193818";"..";"305700";"..";"308244";"..";"389348";"..";"99480";"..";"413670";"..";"331500";"..";"504000";"..";"594000";"..";"590000";"..";"841500";"..";"1009800"
"MU";"5106174";"      Nova Nazaré";"..";"...";"..";"260";"..";"240";"..";"180";"..";"240";"..";"600";"..";"560";"..";"600";"..";"300";"..";"300";"..";"-";"..";"-";"..";"3000";"..";"4800";"..";"4800";"..";"2850";"..";"2100";"..";"4800";"..";"6120";"..";"18900";"..";"14250";"..";"13500";"..";"16065";"..";"24000"
"MU";"5106257";"      Nova Xavantina";"..";"6300";"..";"6300";"..";"7560";"..";"6580";"..";"3000";"..";"3000";"..";"3330";"..";"1900";"..";"12690";"..";"12900";"..";"6903";"..";"22896";"..";"65160";"..";"56280";"..";"51900";"..";"60000";"..";"14575";"..";"69450";"..";"54000";"..";"70800";"..";"66000";"..";"27000";"..";"86700";"..";"61200"
"MU";"5106281";"      Novo São Joaquim";"..";"20207";"..";"16271";"..";"22381";"..";"30880";"..";"27895";"..";"27848";"..";"42570";"..";"49128";"..";"49140";"..";"101460";"..";"125721";"..";"104172";"..";"202800";"..";"204270";"..";"212040";"..";"189420";"..";"68371";"..";"261154";"..";"234522";"..";"222816";"..";"233590";"..";"186000";"..";"196500";"..";"226250"
"MU";"5107065";"      Querência";"..";"3375";"..";"6480";"..";"4200";"..";"4200";"..";"810";"..";"1500";"..";"2280";"..";"2400";"..";"44880";"..";"74500";"..";"36000";"..";"121964";"..";"284272";"..";"522577";"..";"490175";"..";"693000";"..";"180463";"..";"823875";"..";"607842";"..";"619200";"..";"1320000";"..";"1368000";"..";"765000";"..";"1730400"
"MU";"5107792";"      Santo Antônio do Leste";"..";"...";"..";"12024";"..";"28430";"..";"43552";"..";"22635";"..";"23887";"..";"37929";"..";"95915";"..";"103336";"..";"102716";"..";"160034";"..";"176958";"..";"273180";"..";"349272";"..";"294960";"..";"306600";"..";"132800";"..";"369660";"..";"343320";"..";"397320";"..";"415800";"..";"390600";"..";"441000";"..";"547200"
"MI";"51011";"    Médio Araguaia";"..";"1506";"..";"4020";"..";"2610";"..";"1270";"..";"1770";"..";"885";"..";"1272";"..";"552";"..";"1074";"..";"4410";"..";"150";"..";"10434";"..";"17436";"..";"54";"..";"8988";"..";"8784";"..";"5913";"..";"5196";"..";"6062";"..";"10166";"..";"24930";"..";"28454";"..";"145884";"..";"145636"
"MU";"5101001";"      Araguaiana";"..";"306";"..";"360";"..";"360";"..";"150";"..";"240";"..";"135";"..";"72";"..";"72";"..";"72";"..";"90";"..";"90";"..";"84";"..";"84";"..";"54";"..";"54";"..";"-";"..";"-";"..";"1080";"..";"1800";"..";"2184";"..";"3234";"..";"2954";"..";"21384";"..";"25661"
"MU";"5101803";"      Barra do Garças";"..";"960";"..";"1950";"..";"1500";"..";"840";"..";"1050";"..";"150";"..";"900";"..";"360";"..";"570";"..";"4080";"..";"-";"..";"10260";"..";"17352";"..";"-";"..";"8784";"..";"8784";"..";"4473";"..";"1470";"..";"2400";"..";"6120";"..";"13200";"..";"15300";"..";"102000";"..";"98600"
"MU";"5103106";"      Cocalinho";"..";"240";"..";"1710";"..";"750";"..";"280";"..";"480";"..";"600";"..";"300";"..";"120";"..";"432";"..";"240";"..";"60";"..";"90";"..";"-";"..";"-";"..";"150";"..";"-";"..";"1440";"..";"2646";"..";"1862";"..";"1862";"..";"8496";"..";"10200";"..";"22500";"..";"21375"
"ME";"5103";"  Sudoeste Mato-grossense";"..";"87981";"..";"96658";"..";"91485";"..";"106631";"..";"114452";"..";"98935";"..";"103766";"..";"146524";"..";"146889";"..";"135085";"..";"133150";"..";"100022";"..";"177424";"..";"209603";"..";"186427";"..";"237159";"..";"287322";"..";"571110";"..";"438339";"..";"525737";"..";"498041";"..";"619201";"..";"689805";"..";"888898"
"MI";"51012";"    Alto Guaporé";"..";"16800";"..";"15820";"..";"11496";"..";"21890";"..";"33350";"..";"8429";"..";"25670";"..";"19281";"..";"29499";"..";"36181";"..";"40366";"..";"35090";"..";"46505";"..";"51350";"..";"47063";"..";"76884";"..";"77475";"..";"123406";"..";"137805";"..";"179534";"..";"183554";"..";"214637";"..";"261112";"..";"357841"
"MU";"5103361";"      Conquista D'Oeste";"..";"...";"..";"750";"..";"450";"..";"2400";"..";"7700";"..";"750";"..";"900";"..";"360";"..";"750";"..";"1330";"..";"480";"..";"630";"..";"600";"..";"750";"..";"450";"..";"6447";"..";"5704";"..";"10890";"..";"9663";"..";"18315";"..";"20344";"..";"17673";"..";"23428";"..";"38727"
"MU";"5106182";"      Nova Lacerda";"..";"1800";"..";"1950";"..";"1750";"..";"9550";"..";"7500";"..";"1734";"..";"1520";"..";"540";"..";"3839";"..";"4476";"..";"5216";"..";"5850";"..";"5850";"..";"4752";"..";"13005";"..";"4770";"..";"8424";"..";"30496";"..";"26520";"..";"36340";"..";"28580";"..";"46275";"..";"51909";"..";"86500"
"MU";"5106752";"      Pontes e Lacerda";"..";"7500";"..";"7500";"..";"4480";"..";"4480";"..";"8700";"..";"1595";"..";"13680";"..";"10800";"..";"16800";"..";"21700";"..";"21250";"..";"16500";"..";"22500";"..";"27808";"..";"23400";"..";"32240";"..";"29865";"..";"38100";"..";"43488";"..";"49065";"..";"52650";"..";"64050";"..";"80550";"..";"94725"
"MU";"5108352";"      Vale de São Domingos";"..";"...";"..";"1120";"..";"784";"..";"980";"..";"1350";"..";"1350";"..";"900";"..";"429";"..";"450";"..";"750";"..";"420";"..";"360";"..";"405";"..";"540";"..";"600";"..";"-";"..";"2559";"..";"16176";"..";"15600";"..";"756";"..";"630";"..";"660";"..";"1125";"..";"1092"
"MU";"5105507";"      Vila Bela da Santíssima Trindade";"..";"7500";"..";"4500";"..";"4032";"..";"4480";"..";"8100";"..";"3000";"..";"8670";"..";"7152";"..";"7660";"..";"7925";"..";"13000";"..";"11750";"..";"17150";"..";"17500";"..";"9608";"..";"33427";"..";"30923";"..";"27744";"..";"42534";"..";"75058";"..";"81350";"..";"85979";"..";"104100";"..";"136797"
"MI";"51013";"    Tangará da Serra";"..";"28380";"..";"32278";"..";"37024";"..";"43662";"..";"40165";"..";"52690";"..";"58358";"..";"111218";"..";"94219";"..";"77157";"..";"78733";"..";"51438";"..";"115402";"..";"139255";"..";"120736";"..";"143414";"..";"186153";"..";"421266";"..";"277887";"..";"328613";"..";"295360";"..";"373796";"..";"397610";"..";"489675"
"MU";"5101704";"      Barra do Bugres";"..";"720";"..";"720";"..";"612";"..";"1242";"..";"864";"..";"1149";"..";"1194";"..";"1080";"..";"1089";"..";"1440";"..";"1440";"..";"1440";"..";"1325";"..";"1250";"..";"1250";"..";"1750";"..";"2000";"..";"2600";"..";"2550";"..";"3310";"..";"4070";"..";"3760";"..";"4681";"..";"5750"
"MU";"5103452";"      Denise";"..";"1000";"..";"660";"..";"382";"..";"540";"..";"81";"..";"120";"..";"144";"..";"144";"..";"90";"..";"144";"..";"36";"..";"8";"..";"17";"..";"-";"..";"-";"..";"4224";"..";"4224";"..";"5784";"..";"4400";"..";"6420";"..";"2460";"..";"2575";"..";"2572";"..";"330"
"MU";"5106232";"      Nova Olímpia";"..";"1700";"..";"2040";"..";"2380";"..";"2805";"..";"1870";"..";"1870";"..";"1870";"..";"2040";"..";"2125";"..";"2040";"..";"1649";"..";"1530";"..";"1000";"..";"220";"..";"260";"..";"24";"..";"22";"..";"30";"..";"38";"..";"81";"..";"21";"..";"32";"..";"773";"..";"804"
"MU";"5106851";"      Porto Estrela";"..";"1000";"..";"1781";"..";"1750";"..";"1575";"..";"600";"..";"240";"..";"400";"..";"430";"..";"600";"..";"630";"..";"500";"..";"500";"..";"600";"..";"750";"..";"750";"..";"750";"..";"160";"..";"100";"..";"224";"..";"412";"..";"450";"..";"1750";"..";"1825";"..";"2920"
"MU";"5107958";"      Tangará da Serra";"..";"23960";"..";"27077";"..";"31900";"..";"37500";"..";"36750";"..";"49311";"..";"54750";"..";"107524";"..";"90315";"..";"72903";"..";"75108";"..";"47960";"..";"112460";"..";"137035";"..";"118476";"..";"136666";"..";"179747";"..";"412752";"..";"270675";"..";"318390";"..";"288359";"..";"365679";"..";"387759";"..";"479871"
"MI";"51014";"    Jauru";"..";"42801";"..";"48560";"..";"42965";"..";"41079";"..";"40937";"..";"37816";"..";"19738";"..";"16025";"..";"23171";"..";"21747";"..";"14051";"..";"13494";"..";"15517";"..";"18998";"..";"18628";"..";"16861";"..";"23694";"..";"26438";"..";"22647";"..";"17590";"..";"19127";"..";"30768";"..";"31083";"..";"41382"
"MU";"5101258";"      Araputanga";"..";"7200";"..";"6000";"..";"6000";"..";"6000";"..";"4650";"..";"8000";"..";"5250";"..";"4500";"..";"2700";"..";"2400";"..";"1050";"..";"2000";"..";"4900";"..";"5250";"..";"7275";"..";"8600";"..";"12730";"..";"11400";"..";"11208";"..";"6000";"..";"6000";"..";"15600";"..";"15600";"..";"18564"
